Giá,Diện tích,Mặt tiền,Đường trước nhà,Số tầng,Số phòng,Số toilet,Nội thất_cơ bản,Nội thất_không,Nội thất_đầy đủ
8.0,68.0,4.0,6.0,2.0,4.0,2.0,0,1,0
4.5,39.0,4.0,4.0,3.0,4.0,3.0,0,1,0
3.3,26.0,5.0,3.0,3.0,3.0,2.0,0,1,0
50.0,405.0,15.0,10.0,3.0,5.0,6.0,0,1,0
17.8,71.0,4.0,30.0,3.0,4.0,3.0,0,0,1
230.0,276.0,8.0,10.0,7.0,34.0,35.0,0,1,0
25.0,85.0,1.0,1.0,1.0,1.0,1.0,0,1,0
11.8,81.0,8.0,6.0,1.0,2.0,1.0,0,1,0
2.6,44.0,4.0,3.0,2.0,2.0,2.0,0,1,0
2.6,25.0,4.0,6.0,1.0,2.0,2.0,0,1,0
3.0,35.0,6.0,3.0,2.0,2.0,2.0,0,1,0
5.7,27.0,9.0,10.0,3.0,2.0,3.0,0,1,0
1.4,15.0,2.0,2.0,2.0,3.0,2.0,0,1,0
3.1,36.0,4.0,4.0,3.0,2.0,2.0,0,1,0
17.0,125.0,4.0,12.0,6.0,32.0,32.0,0,0,1
4.0,29.0,3.0,6.0,4.0,4.0,3.0,0,1,0
29.5,62.0,4.0,20.0,4.0,8.0,1.0,0,1,0
5.2,75.0,6.0,5.0,1.0,1.0,1.0,0,1,0
2.0,55.0,4.0,6.0,1.0,2.0,2.0,0,1,0
23.9,280.0,7.0,15.0,2.0,2.0,2.0,0,1,0
23.0,139.0,5.0,6.0,6.0,28.0,28.0,0,1,0
2.9,29.0,3.0,8.0,3.0,3.0,3.0,0,1,0
15.6,72.0,6.0,15.0,3.0,3.0,3.0,0,1,0
3.4,41.0,10.0,10.0,1.0,2.0,2.0,0,1,0
26.8,247.0,1.0,1.0,1.0,1.0,1.0,0,1,0
4.0,31.0,3.0,3.0,2.0,2.0,2.0,0,1,0
5.2,43.0,4.0,5.0,5.0,4.0,4.0,0,1,0
2.8,40.0,7.0,3.0,1.0,2.0,1.0,0,1,0
2.5,45.0,7.0,3.0,1.0,2.0,1.0,0,1,0
2.5,40.0,6.0,3.0,1.0,2.0,1.0,0,1,0
2.8,40.0,7.0,3.0,1.0,2.0,1.0,0,1,0
2.8,40.0,7.0,3.0,1.0,2.0,1.0,0,1,0
2.1,170.0,6.0,6.0,2.0,10.0,10.0,0,1,0
21.0,170.0,6.0,6.0,2.0,10.0,10.0,0,1,0
2.0,55.0,4.0,6.0,1.0,2.0,2.0,0,1,0
19.0,89.0,5.0,5.0,4.0,10.0,4.0,0,0,1
3.5,35.0,5.0,3.0,4.0,4.0,3.0,0,1,0
4.9,42.0,4.0,8.0,3.0,4.0,3.0,0,1,0
4.0,20.0,4.0,5.0,3.0,2.0,3.0,0,1,0
27.0,108.0,12.0,12.0,4.0,8.0,1.0,0,1,0
5.8,95.0,6.0,3.0,2.0,3.0,3.0,0,1,0
5.3,25.0,3.0,6.0,2.0,2.0,2.0,0,1,0
5.3,56.0,4.0,6.0,2.0,2.0,2.0,0,1,0
36.0,151.0,1.0,1.0,1.0,1.0,1.0,0,1,0
19.8,64.0,4.0,20.0,4.0,8.0,1.0,0,1,0
29.9,80.0,4.0,30.0,4.0,8.0,9.0,0,0,1
5.6,91.3,1.0,1.0,1.0,1.0,1.0,0,1,0
21.0,170.0,6.0,6.0,2.0,10.0,10.0,0,1,0
3.2,52.0,4.0,3.0,2.0,2.0,1.0,0,1,0
2.8,22.0,3.0,8.0,4.0,3.0,3.0,0,1,0
7.0,90.0,9.0,8.0,4.0,5.0,5.0,0,1,0
5.2,80.0,5.0,8.0,4.0,4.0,5.0,0,1,0
